material,diam,year,count
CI,150,1910,486
PVC,200,2002,425
PVC,200,1997,368
PVC,200,1990,366
YDI,150,1976,352
PVC,150,1989,351
PVC,150,1991,350
CI,150,1960,336
PVC,200,1998,336
CI,150,1959,320
PVC,200,2003,317
PVC,200,2001,312
PVC,150,1990,305
PVC,200,1994,305
CI,150,1958,304
PVC,200,1989,295
PVC,150,1992,294
PVC,200,1991,293
PVC,200,2011,287
PVC,200,2004,286
PVC,150,1997,286
PVC,150,1987,280
PVC,150,2023,274
YDI,150,1977,272
PVC,200,1999,271
YDI,300,1979,270
PVC,200,2010,268
YDI,200,1979,267
PVC,150,1988,266
PVC,200,2005,265
PVC,250,2002,259
PVC,150,1994,258
PVC,200,1992,258
PVC,200,2000,255
PVC,250,1997,251
CI,150,1954,249
PVC,150,1998,249
PVC,200,2006,248
PVC,200,2023,247
YDI,200,1978,246
PVC,200,1996,244
PVC,200,2022,243
PVC,200,2017,242
PVC,250,2017,241
PVC,250,2003,238
YDI,250,1979,237
YDI,300,1978,236
PVC,250,1998,236
PVC,150,2004,235
YDI,150,1978,234
PVC,250,2005,233
YDI,150,1979,233
PVC,250,2023,233
PDI,150,1973,232
PVC,200,1993,232
PVC,150,1996,227
YDI,300,1980,224
PVC,300,2011,223
PDI,150,1972,221
PVC,250,2011,217
PVC,200,2007,213
PVC,150,2001,211
CI,150,1950,210
PVC,200,2021,209
CI,150,1953,208
PVC,250,2001,207
PVC,150,1993,206
PVC,200,2020,206
PVC,250,2004,205
YDI,200,1977,204
CI,150,1956,203
PDI,200,1974,201
YDI,250,1978,200
PVC,150,2022,200
PVC,300,2007,199
PVC,250,1990,198
PVC,150,2002,198
PVC,200,2014,197
PVC,300,2010,196
PDI,200,1972,195
PVC,300,1998,195
YDI,200,1976,194
PVC,300,2012,194
PVC,150,2000,194
PVC,200,1995,193
PVC,150,1995,192
PVC,250,1999,192
PVC,250,2018,191
PVC,150,2003,190
PVC,150,2021,190
PVC,200,1987,189
PDI,150,1974,187
PVC,200,2018,187
PVC,300,2017,187
CI,150,1961,186
YDI,300,1976,186
PVC,300,1997,185
PVC,250,2006,185
PVC,200,2013,182
YDI,200,1980,180
PVC,150,2020,180
PVC,200,2015,180
PVC,200,1981,177
PVC,200,1988,176
PDI,150,1971,176
PVC,250,2019,175
PVC,250,2014,175
PVC,250,1989,173
PVC,300,1999,173
PVC,250,1992,172
PVC,150,2007,172
PVC,200,2012,172
PVC,150,1986,170
CI,150,1957,170
CI,150,1952,169
YDI,300,1981,168
PVC,300,2018,167
PVC,250,2007,167
PVC,250,2000,166
PVC,150,1985,166
PVC,300,1990,166
PVC,250,1991,166
PDI,300,1973,165
PVC,250,2012,165
PVC,150,1999,164
PVC,250,2016,164
PVC,250,2010,164
PDI,250,1972,163
PVC,300,2004,163
PDI,200,1971,162
PVC,250,2021,162
PVC,300,2005,161
PVC,300,2002,160
PVC,200,2008,158
CI,150,1962,158
PVC,150,2006,154
PVC,150,2005,154
PDI,200,1973,154
PVC,150,1981,153
PVC,250,1994,148
PVC,300,1991,147
PVC,250,2020,147
PVC,200,2019,147
PVC,300,2003,146
CI,150,1955,146
PDI,300,1974,145
PVC,200,2016,145
PVC,300,2023,145
PVC,300,1989,144
PVC,300,2015,144
CI,150,1949,144
PVC,300,2000,144
PVC,300,2016,144
PVC,400,1994,143
PVC,300,1994,142
PVC,150,2019,142
YDI,250,1977,142
PVC,300,1988,140
YDI,150,1980,139
PVC,300,2008,139
PVC,200,1986,137
YDI,300,1977,133
PVC,400,2002,132
YDI,250,1980,131
CI,150,1965,131
PVC,300,2006,131
PVC,300,2001,130
PVC,400,1990,130
PVC,250,1996,129
PVC,400,1997,129
CI,150,1951,128
CI,200,1960,127
PVC,200,2009,127
PVC,300,2013,125
PVC,400,1992,125
PVC,250,1993,125
PVC,300,1981,124
PVC,150,1980,124
PVC,250,1988,124
PDI,300,1972,124
PVC,300,1993,123
PVC,400,2000,123
PVC,250,1995,123
PVC,400,1998,122
PVC,200,1980,122
PVC,400,1999,122
PDI,250,1971,121
PVC,150,1982,120
PVC,300,1992,120
PVCG,150,1994,119
PVCG,150,1995,117
PDI,250,1974,116
PVC,250,2015,116
PVC,250,2008,115
PVC,300,2019,115
PVC,250,2013,114
PVC,300,2021,111
PVC,300,2014,111
PDI,250,1973,110
PVC,300,1995,110
CI,250,1910,110
PVCG,150,1997,110
CI,250,1959,109
PVC,250,2022,109
PVC,150,1983,107
PDI,150,1970,106
PVC,250,1987,105
PDI,200,1975,104
YDI,250,1976,104
PVC,400,2003,103
PVC,300,1996,102
PVC,400,2001,101
YDI,400,1978,101
PVCG,150,1996,101
PDI,250,1975,96
YDI,250,1981,96
PVC,200,1985,95
PVC,150,2011,95
PVC,400,2004,94
PDI,300,1971,93
PDI,150,1975,92
PVC,100,2002,92
PVC,150,2017,92
PVC,400,1996,91
YDI,400,1981,91
PDI,150,1969,91
PDI,200,1970,91
PVCG,150,1992,90
DI,150,1968,90
PVC,300,1987,90
CI,150,1963,89
PVC,150,2018,89
PVCG,150,1993,89
YDI,200,1981,87
PVCG,150,1998,87
CI,200,1959,85
PVC,400,1989,84
PDI,250,1970,84
CI,300,1955,84
PVC,250,1981,83
PVC,150,2012,83
PVC,150,2015,83
YDI,150,1981,82
CI,150,1964,82
YDI,400,1980,81
CI,150,1948,81
CI,300,1910,81
PVC,100,2004,80
PVC,250,2009,80
PVC,300,1980,79
PVC,150,1984,79
